Item,Qtty needed,Qtty / Pack,Pack Qtty,Price / pack,Source,Extra,Category,Already owned,Item Total,Final Total,Final Total ($)
Stepper Motor Nema 17,3,1,3,7.99€,https://www.aliexpress.com/item/1005008459399126.html?spm=a2g0o.detail.0.0.6d6adUQZdUQZ7e&mp=1&pdp_npi=5%40dis%21EUR%21EUR%208.03%21EUR%207.69%21%21EUR%207.54%21%21%21%40211b655217646124221315154eeff6%2112000045225398669%21ct%21ES%213560368449%21%213%210&_gl=1*99zn9c*_gcl_au*MzIxMjEzOTQyLjE3NjA3NzQxMzE.*_ga*MzE0MjA4MjUyLjE3NDQ1NjgzNTU.*_ga_VED1YSGNC7*czE3NjQ2MTA3MjQkbzM2MSRnMSR0MTc2NDYxMjQyMSRqNjAkbDAkaDA.,,Motor,FALSE,23.97€,348.22€,$405.72
USB B cable,1,1,1,1.65€,https://es.aliexpress.com/item/32700175631.html,,Electronics,TRUE,0,,
MainBoard,1,1,1,37.39€,https://es.aliexpress.com/item/1005006046426892.html,With TMC2209x5,Electronics,FALSE,37.39€,,
15180 extrusion,1,1,1,20.99€,https://www.aliexpress.com/item/1005007601829278.html?spm=a2g0o.detail.0.0.40d0zxSuzxSugE&mp=1&pdp_npi=5%40dis%21EUR%21EUR%2045.14%21EUR%2020.99%21%21EUR%2019.94%21%21%21%40211b655217646124673547076eeff6%2112000041465696830%21ct%21ES%213560368449%21%211%210&_gl=1*af3oye*_gcl_au*MzIxMjEzOTQyLjE3NjA3NzQxMzE.*_ga*MzE0MjA4MjUyLjE3NDQ1NjgzNTU.*_ga_VED1YSGNC7*czE3NjQ2MTA3MjQkbzM2MSRnMSR0MTc2NDYxMjQ2NyRqMTQkbDAkaDA.,300 mm,Bed,FALSE,20.99€,,
Orange Pi zero,0,1,0,21.11€,https://es.aliexpress.com/item/1005005785695181.html,,Electronics,FALSE,0.00€,,
Spindle 500W,1,1,1,83.90€,https://es.aliexpress.com/item/1005008660257525.html?spm=a2g0o.detail.0.0.7ceea4QSa4QSAm&mp=1&pdp_npi=5%40dis%21EUR%21EUR%20154.82%21EUR%2071.22%21%21EUR%2071.22%21%21%21%40211b81a317644196400182168e1ef0%2112000046135986087%21ct%21ES%213560368449%21%211%210&gatewayAdapt=glo2esp,,Spindle,FALSE,83.90€,,
Endstops,3,10,1,1.99€,https://es.aliexpress.com/item/32273125391.html?spm=a2g0o.detail.0.0.4430TZLUTZLUKZ&mp=1&pdp_npi=5%40dis%21EUR%21EUR%202.23%21EUR%202.04%21%21EUR%202.04%21%21%21%40211b81a317644196334361968e1ef0%2110000000087821676%21ct%21ES%213560368449%21%211%210&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D&gatewayAdapt=glo2esp,,Electronics,FALSE,1.99€,,
2020 extrusion,4,4,1,16.49€,https://es.aliexpress.com/item/1005001598712011.html?spm=a2g0o.detail.0.0.79003CBe3CBeeJ&mp=1&pdp_npi=5%40dis%21EUR%21EUR%2022.12%21EUR%2016.59%21%21EUR%2015.71%21%21%21%40210311a017645289863703437efee1%2112000028499272341%21ct%21ES%213560368449%21%211%210&gatewayAdapt=glo2esp,350 mm,Structure,FALSE,16.49€,,
2040 extrusion,2,1,2,7.49€,https://es.aliexpress.com/item/1005002652962344.html?spm=a2g0o.detail.0.0.7d2eqFEiqFEiDB&mp=1&pdp_npi=5%40dis%21EUR%21EUR%2010.77%21EUR%206.89%21%21EUR%206.89%21%21%21%40210311a017645290191214425efee1%2112000021570028934%21ct%21ES%213560368449%21%211%210&gatewayAdapt=glo2esp,350 mm,Structure,FALSE,14.98€,,
2040 extrusion,2,1,2,6.09€,https://es.aliexpress.com/item/1005002652962344.html?spm=a2g0o.detail.0.0.10caUmdrUmdr1n&mp=1&pdp_npi=5%40dis%21EUR%21EUR%208.74%21EUR%205.59%21%21EUR%205.59%21%21%21%40210311a017645290447735008efee1%2112000021570028926%21ct%21ES%213560368449%21%211%210&gatewayAdapt=glo2esp,250 mm,Structure,FALSE,12.18€,,
2080 extrusion,1,1,1,14.19€,https://es.aliexpress.com/item/1005002652962344.html?spm=a2g0o.detail.0.0.5557UOGAUOGA3N&mp=1&pdp_npi=5%40dis%21EUR%21EUR%2020.30%21EUR%2012.99%21%21EUR%2012.60%21%21%21%40210311a017645292209481296efee1%2112000021570028935%21ct%21ES%213560368449%21%211%210&gatewayAdapt=glo2esp,350 mm,Structure,FALSE,14.19€,,
